objectid,parentid,title,creator,date,date-is-approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,interviewee,interviewer,archival date,pdf,bio
demo_001,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910,,"Example locally hosted image item. Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities; buildings; campuses; picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, Special Collections and Archives, University of Idaho Library",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/demo_001.jpg,/objects/small/demo_001_sm.jpg,/objects/thumbs/demo_001_th.jpg,historic sepia photograph depicting a formal brick and stone building in the College Gothic style,,,,,,
demo_002,,"Spokane County Court House, Spokane, Washington",Spokane Post Card Co.,1912-09-08,,"Example locally hosted PDF item. Postcard is of the Spokane County Courthouse in Spokane, Washington. Postmark 9/8/1912, Spokane, WA. Destination San Francisco, CA.",public buildings; county courthouses; trees; picture postcards,"Spokane, Washington",47.66432,-117.428031,"PG 107, Knowles Postcard Collection, Special Collections and Archives, University of Idaho Library",Postcard_032,Image;StillImage,application/pdf,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,pdf,/objects/demo_002.pdf,/objects/small/demo_002_sm.jpg,/objects/thumbs/demo_002_th.jpg,historic colorized postcard depicting a formal building with a large central tower in the French Renaissance revival style,,,,,,
demo_003,,Good News – Power (Radio Episode Excerpt),"Robinson, Frank B.",1947,,Example locally hosted audio item. A short excerpt from a Psychiana radio program episode that begins with assurance that there is a Power that can get people what they desire. Robinson then discusses his early life failures and childhood seeking of some force that could turn his failures into success. He asserts the God-Power can turn our failures into success and bring us material and spiritual abundance.,Frank B. Robinson; Failure; Success; Material Abundance,"Moscow, Idaho",46.733001,-116.991779,"Psychiana Digital Collection, Digital Initiatives, University of Idaho Library, https://www.lib.uidaho.edu/digital/psychiana/",Good_News_08,Audio,audio/mp3,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,/objects/demo_003.mp3,/objects/small/demo_003_sm.jpg,/objects/thumbs/demo_003_th.jpg,"portrait of a man in a suit, with the text 'the amazing story of Psychiana' below","[slightly scratchy recording of a radio broadcast. A organ plays dramatic intro music, then continues quietly behind speaker voice]

[Dramatic male speaking voice]:

As an army terrible with batters sweeping before it the black shades of night, routing despair, comes the flaming truth of the God law.

Why do you suffer the indignities of life, when you can control life? Your fate is in your hands now, for at last, the way is open, if you will but take it. 
When Dr. Frank B Robinson first realized the dynamic implications of Psychiana, he was in debt, a humble drug clerk with no future, no hope. Now he possesses all that he wants of wealth, his mind is at peace, and he is accorded praise and renown as an outstanding and famous psychologist. The same forces that raised him out of the depths, to stand on a high plane among men, can be put to work for you.",,,,,
demo_004,,"University of Idaho vs. University of Southern California (Football), 10/30/1925",Vandal Athletics,1925-10-30,,"Example YouTube video item. Idaho Football vs. University of Southern California 10/30/1925 at Neale Stadium in Moscow, ID. Score: 7 - 51 (L). Silent film footage.",American Football,"Moscow, Idaho",46.726113,-117.015671,"Vandal Video Collection, Digital Initiatives, University of Idaho Library, https://www.lib.uidaho.edu/digital/vandalvideo/","MG 23, Item 29",Image;MovingImage,video/mp4,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,video,https://youtu.be/CVXQ3X6Q8oU,https://img.youtube.com/vi/CVXQ3X6Q8oU/hqdefault.jpg,https://img.youtube.com/vi/CVXQ3X6Q8oU/mqdefault.jpg,grainy image from historic film depicting fans heading to football game,,,,,,
demo_005,,Interview with K. Silem Mohammad,"Becker, Devin",2014-06-16,,Example Vimeo video item. Oral history interview with poet K. Silem Mohammad discussing recent changes in writing practices that occurred due to the advent of the computer and the arrival of the digital age.,Poetry,"Ashland, OR",42.1916714,-122.728533,"CTRL+Shift, Center for Digital Inquiry and Learning, University of Idaho Library, https://ctrl-shift.org/",,Image;MovingImage,video/mp4,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,video,https://vimeo.com/464555587,,,,/objects/demo_005.txt,,,,,
demo_006,,Ford pumper used for slash burning control,"Thompson, J. B.",1932-09-01,,Example image item externally hosted. Ford pumper used for slash burning control. September 1932. From the photo series depicting the broadcast burn at the mouth of Benton Creek.,forestry,Bonner County;Priest River Experimental Forest;Benton Creek,48.34472222,-116.8483333,"Experimental Forest and Savenac Nursery Archive, Digital Initiatives, University of Idaho Library, https://www.lib.uidaho.edu/digital/expforest/",FirePump1,Image;StillImage,image/jpeg,eng,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/demo_006.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/small/demo_006_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/thumbs/demo_006_th.jpg,man standing with pump machinery next to a river with trees and mountains in the distance,,,,,,
demo_007,,Influence of Fishway Placement on Fallback of Adult Salmon at the Bonneville Dam on the Columbia River,"Reischel, T.S.; Bjornn, T.C.",2003,,Example metadata-only record with link to external source. Journal article.,fisheries management,Bonneville Dam,45.6442837,-121.9428256,"North American Journal of Fisheries Management, vol. 23, issue 4, p. 1215-1224. DOI: 10.1577/M02-113",DOI:10.1577/M02-113,Text,application/pdf,eng,"Metadata-only record, please check publication for rights",,record,https://www.doi.org/10.1577/M02-113,,,,,,,,,
demo_008,,Hell's Half Acre,Keeping Watch,,,"Example compound object. Hells Half Acre is an R-6 cabin that is easily accessible by road in the Selway-Bitterroot Wilderness. Originally a platform on top of a forty-foot-tall tower, the original Hell's Half Acre cabin was an L-4.  Now one of the most popular lookouts in Idaho or Montana, it sits above a snag forest of mostly lodgepole pine. A sign at the base of the summit informs drivers that the tower opens at 9 am. Unsure if this refers to mountain or pacific time, we wait at the sign and drink our coffee. ",,,45.64579,-114.62838,Keeping Watch Fire Tower Oral HIstory Project,,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,compound_object,,https://cdil.lib.uidaho.edu/keeping-watch/objects/small/outside_shot_hells_half_sm.jpg,https://cdil.lib.uidaho.edu/keeping-watch/objects/thumbs/outside_shot_hells_half_th.jpg,fire lookout tower with a flag pole and American flag,,,,,,
demo_009,demo_008,Hell's Half Acre Lookout 360 Image,Keeping Watch,2021-07-13,,Example child object. 360 Image of the Interior of Hell's Half Acre Fire Tower,,Hell's Half Acre,45.64579,-114.62838,,,Image;StillImage,image/jpeg,eng,,,panorama,/objects/hells_half_theta.jpg,https://cdil.lib.uidaho.edu/keeping-watch/objects/small/hells_half_theta_sm.jpg,https://cdil.lib.uidaho.edu/keeping-watch/objects/thumbs/hells_half_theta_th.jpg,interior of a fire lookout tower with map in center and windows in all directions,,,,,,
demo_010,demo_008,Patrick McMarron Records Fire Conditions at Hell's Half Acre Lookout,Keeping Watch,2021-07-13,,Example child object. Video of Patrick McMarron recording fire conditions in July of 2021 on Hells Half Acre Fire Lookout,,Hell's Half Acre,45.64579,-114.62838,,,Image;MovingImage,video/mp4,eng,,,video,https://cdil.lib.uidaho.edu/keeping-watch/objects/videos/patrick_records_weather.MP4,,,man in fire lookout tower records conditions in notebook,"[Unknown speaker reports on slightly fuzzy radio while as Patrick McMarron writes notes]

Temperatures 85 to 90 in valleys, 70 to 75 ridges.
Minimum humidity 15 to 25 percent valleys and 22 to 32 percent ridges.
20 foot winds at lower elevations Northwest, 5 to 15 miles per hour.
Ridge top, Northwest, 5 to 15 miles per hour.
Hains index 4 low. LAL 4. 
Chance of rain zero percent. 
Break.

Tonight’s sky weather, mostly clear, smoke.
Minimum temperature 45 to 55 valleys...

[video ends abruptly]",,,,,
demo_011,demo_008,Outside shot of Hells Half Acre Lookout,Keeping Watch,2021-07-13,,Example child object. Outside shot of Hells Half Acre Lookout,,Hell's Half Acre,45.64579,-114.62838,,,Image;StillImage,image/jpeg,eng,,,image,https://cdil.lib.uidaho.edu/keeping-watch/objects/hell-s-half-acre/outside_shot_hells_half.JPG,https://cdil.lib.uidaho.edu/keeping-watch/objects/small/outside_shot_hells_half_sm.jpg,https://cdil.lib.uidaho.edu/keeping-watch/objects/thumbs/outside_shot_hells_half_th.jpg,fire lookout tower with a flag pole and American flag,,,,,,
demo_012,demo_008,Patrick McMarron Discusses the Importance of Human Beings on the Lookout,Keeping Watch,2021-07-13,,Example child object. Video of Patrick McMarron discussing the importance of human beings staffing fire lookouts,Patrick McMarron; Hell's Half Acre,Hell's Half Acre,45.64579,-114.62838,,,Image;MovingImage,video/mp4,eng,,,video,https://cdil.lib.uidaho.edu/keeping-watch/objects/videos/patrick_the_human_being.mp4,,,Patrick McMarron Discusses the Importance of Human Beings on the Lookout,/objects/demo_012.md,,,,,
demo_013,,Peeled Tree,,,,Example multiple. A cross section of a peeled tree from the Payette National Forest. The inner bark was utilized as a food resource by Indigenous Tribe.,Peeled Tree; Payette National Forest; Indigenous Tribe,,,,,,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,https://webpages.uidaho.edu/Library/twrs/objects/small/dsc_0136_sm.jpg,https://webpages.uidaho.edu/Library/twrs/objects/thumbs/dsc_0136_th.jpg,log cross section showing tree rings and one side of tree bark peeled,,,,,,
demo_014,demo_013,Peeled Tree View 1,,,,,,,,,,,Image;StillImage,image/jpeg,,,,image,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0136.jpg,https://webpages.uidaho.edu/Library/twrs/objects/small/dsc_0136_sm.jpg,https://webpages.uidaho.edu/Library/twrs/objects/thumbs/dsc_0136_th.jpg,log cross section showing tree rings and one side of tree bark peeled,,,,,,
demo_015,demo_013,Peeled Tree View 2,,,,,,,,,,,Image;StillImage,image/jpeg,,,,image,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0137.JPG,https://webpages.uidaho.edu/Library/twrs/objects/small/dsc_0137_sm.jpg,https://webpages.uidaho.edu/Library/twrs/objects/thumbs/dsc_0137_th.jpg,log cross section showing where tree bark was peeled,,,,,,
demo_016,demo_013,Peeled Tree View 3,,,,,,,,,,,Image;StillImage,image/jpeg,,,,image,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0138.JPG,https://webpages.uidaho.edu/Library/twrs/objects/small/dsc_0138_sm.jpg,https://webpages.uidaho.edu/Library/twrs/objects/thumbs/dsc_0138_th.jpg,log cross section showing where tree bark was peeled,,,,,,
demo_017,,Hell's Half Acre Lookout 360 Image,Keeping Watch,2021-07-13,,Example panorama. 360 Image of the Interior of Hell's Half Acre Fire Tower,,Hell's Half Acre,45.64579,-114.62838,,,Image;StillImage,image/jpeg,eng,,,panorama,/objects/hells_half_theta.jpg,https://cdil.lib.uidaho.edu/keeping-watch/objects/small/hells_half_theta_sm.jpg,https://cdil.lib.uidaho.edu/keeping-watch/objects/thumbs/hells_half_theta_th.jpg,interior of a fire lookout tower with map in center and windows in all directions,,,,,,
demo_018,,"Spokane's Great Restaurant, Washington","Mitchell, Edward H.",1909,,"Example postcard using display template 'multiple.' Postcard is of the Davenport Hotel's Restaurant in Spokane, Washington.",restaurants; automobiles; buildings; picture postcards; flagpoles; flags,"Spokane, WA",47.65710758,-117.4249084,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Postcard_038,record,multiple,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,/objects/small/210a_sm.jpg,/objects/thumbs/210a_th.jpg,historic colorized postcard depicting a fancy multi-story white building with several early cars parked in front,,,,,,
demo_019,demo_018,postcard front,,,,,,,,,,210a,Image;StillImage,image/jpeg,,,,image,/objects/210a.jpg,/objects/small/210a_sm.jpg,/objects/thumbs/210a_th.jpg,historic colorized postcard depicting a fancy multi-story white building with several early cars parked in front,,,,,,
demo_020,demo_018,postcard back,,,,,,,,,,210b,Image;StillImage,image/jpeg,,,,image,/objects/210b.jpg,/objects/small/210b_sm.jpg,/objects/thumbs/210b_th.jpg,"back of historic postcard dated Sept 5, 1909 with very difficult to read cursive writing in pencil",,,,,,
demo_021,,"Jennie Eva Hughes, the First Black Graduate of the University of Idaho",,1899,yes,"Example compound object. Items from the Black History at University of Idaho that feature Jennie Eva Hughes, the first black graduate of the University of Idaho",Jennie Eva Hughes; Black History; University of Idaho,"Moscow, ID",46.725562,-117.009633,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,,record,compound_object,eng,,,compound_object,,https://www.lib.uidaho.edu/blackhistory/objects/small/ma2000_29_001_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ma2000_29_001_th.jpg,"University of Idaho enrollment form filled in with handwritten cursive script saying ""Jennie Eva Hughes, Sept 23, 1898""",,,,,,
demo_022,demo_021,Portrait of Jennie Eva Hughes [1],,1899,yes,Example child object. Black and white portrait of Jennie Eva Hughes.,,,,,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,mg5758_001,Image;StillImage,image/jpeg,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/blackhistory/objects/mg5758_001.jpg,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_001_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_001_th.jpg,black and white portrait of an African American woman in a dress,,,,,,
demo_023,demo_021,Portrait of Jennie Eva Hughes [2],,1899,yes,Example child object. Black and white standing portrait of Jennie Eva Hughes dressed in white. Hughes holds a scroll in her left hand.,,,,,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,mg5758_002,Image;StillImage,image/jpeg,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/blackhistory/objects/mg5758_002.jpg,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_002_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_002_th.jpg,black and white full length portrait of an African American woman in a formal white dress with flowers and holding a scroll in her hand,,,,,,
demo_024,demo_021,"""The Uncrowned King"" by Jennie Eva Hughes","Hughes, Jennie Eva",1898-04-15,,"Example child object. This speech won her the medal oration on April 15, 1898 at University of Idaho.",,,,,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,mg5758_003,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://www.lib.uidaho.edu/blackhistory/objects/mg5758_003.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_003_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_003_th.jpg,"""The Uncrowned King"" by Jennie Eva Hughes",,,,,,
demo_025,demo_021,Spokesman article about Jennie Eva Hughes' oration win,The Spokesman-Review,1898,yes,Example child object. Spokesman-Review article about the oratorical event event and Jennie Eva Hughes' win.,,,,,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,mg5758_004,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://www.lib.uidaho.edu/blackhistory/objects/mg5758_004.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_004_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_004_th.jpg,aged newspaper clipping of a Spokesman article about Jennie Eva Hughes' oration win,,,,,,
demo_026,demo_021,University of Idaho class of 1899,,1898,yes,"Example child object. Back row (left to right): Fred Merriam, Clara Playfair, Eva Nichols, Clem Herbert, Guy Wolfe, Ava Sweet, Fred Moore. Front row (left to right): Kate Hanley, Maude Mix, Charles Armstrong, Will Stillinger, Jennie Eva Hughes, Gilbert Hogue.",,,,,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,pg2_110_1,Image;StillImage,image/jpeg,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/blackhistory/objects/pg2_110_1.jpg,https://www.lib.uidaho.edu/blackhistory/objects/small/pg2_110_1_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/pg2_110_1_th.jpg,black and white group portrait of 6 women and 7 men in formal clothing with Jennie Eva Hughes seated in the front row,,,,,,
demo_027,demo_021,Jennie Eva Hughes' 1898 registration card at University of Idaho,,1898-09-23,,Example child object. Jennie Eva Hughes' registration card for 1898 for the University of Idaho.,,,,,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,ma2000_29_001,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ma2000_29_001.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ma2000_29_001_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ma2000_29_001_th.jpg,"University of Idaho enrollment form filled in with handwritten cursive script saying ""Jennie Eva Hughes, Sept 23, 1898""",,,,,,
